,index,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
1062,1142,CHEMBL2324928,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cccnc4)n(C)n3)cc2C(F)(F)F)CC1,31.0,active,497.52500000000015,3.6251000000000024,2.0,6.0,31.0,7.508638306165727
1063,1143,CHEMBL2324928,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cccnc4)n(C)n3)cc2C(F)(F)F)CC1,33.0,active,497.52500000000015,3.6251000000000024,2.0,6.0,33.0,7.481486060122112
1064,1144,CHEMBL2324927,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5ccccn45)n(C)n3)cc2C(F)(F)F)CC1,30.0,active,536.562,3.8778000000000032,2.0,7.0,30.0,7.522878745280337
1066,1146,CHEMBL2321908,Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1ncc(Nc2ccccc2)cn1,307.0,active,552.5600000000002,6.444320000000006,2.0,6.0,307.0,6.512861624522813
1067,1147,CHEMBL2321908,Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1ncc(Nc2ccccc2)cn1,234.0,active,552.5600000000002,6.444320000000006,2.0,6.0,234.0,6.6307841425898575
1068,1148,CHEMBL2324926,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cccnn45)n(C)n3)cc2C(F)(F)F)CC1,0.4,active,537.55,3.272800000000002,2.0,8.0,0.4,9.397940008672037
1069,1149,CHEMBL2324926,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cccnn45)n(C)n3)cc2C(F)(F)F)CC1,0.4,active,537.55,3.272800000000002,2.0,8.0,0.4,9.397940008672037
1070,1150,CHEMBL2324926,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cccnn45)n(C)n3)cc2C(F)(F)F)CC1,0.7,active,537.55,3.272800000000002,2.0,8.0,0.7,9.154901959985743
1071,1151,CHEMBL2324926,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cccnn45)n(C)n3)cc2C(F)(F)F)CC1,0.4,active,537.55,3.272800000000002,2.0,8.0,0.4,9.397940008672037
1072,1152,CHEMBL2324926,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cccnn45)n(C)n3)cc2C(F)(F)F)CC1,0.2,active,537.55,3.272800000000002,2.0,8.0,0.2,9.698970004336019
1073,1153,CHEMBL2324926,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cccnn45)n(C)n3)cc2C(F)(F)F)CC1,1.0,active,537.55,3.272800000000002,2.0,8.0,1.0,9.0
1074,1154,CHEMBL2324926,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cccnn45)n(C)n3)cc2C(F)(F)F)CC1,12.0,active,537.55,3.272800000000002,2.0,8.0,12.0,7.920818753952375
1075,1155,CHEMBL2324926,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cccnn45)n(C)n3)cc2C(F)(F)F)CC1,27.0,active,537.55,3.272800000000002,2.0,8.0,27.0,7.568636235841013
1076,1156,CHEMBL2324925,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cnccn45)n(C)n3)cc2C(F)(F)F)CC1,0.4,active,537.55,3.272800000000002,2.0,8.0,0.4,9.397940008672037
1077,1157,CHEMBL2324925,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cnccn45)n(C)n3)cc2C(F)(F)F)CC1,0.8,active,537.55,3.272800000000002,2.0,8.0,0.8,9.096910013008056
1078,1158,CHEMBL2324925,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cnccn45)n(C)n3)cc2C(F)(F)F)CC1,1.0,active,537.55,3.272800000000002,2.0,8.0,1.0,9.0
1079,1159,CHEMBL2324925,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cnccn45)n(C)n3)cc2C(F)(F)F)CC1,0.5,active,537.55,3.272800000000002,2.0,8.0,0.5,9.301029995663981
1080,1160,CHEMBL2324925,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cnccn45)n(C)n3)cc2C(F)(F)F)CC1,0.3,active,537.55,3.272800000000002,2.0,8.0,0.3,9.522878745280337
1081,1161,CHEMBL2324925,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cnccn45)n(C)n3)cc2C(F)(F)F)CC1,1.0,active,537.55,3.272800000000002,2.0,8.0,1.0,9.0
1082,1162,CHEMBL2324925,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cnccn45)n(C)n3)cc2C(F)(F)F)CC1,7.0,active,537.55,3.272800000000002,2.0,8.0,7.0,8.154901959985743
1083,1163,CHEMBL2324925,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cnccn45)n(C)n3)cc2C(F)(F)F)CC1,0.4,active,537.55,3.272800000000002,2.0,8.0,0.4,9.397940008672037
1084,1164,CHEMBL2324924,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,0.3,active,532.5700000000002,4.456020000000004,1.0,6.0,0.3,9.522878745280337
1085,1165,CHEMBL2324924,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,0.4,active,532.5700000000002,4.456020000000004,1.0,6.0,0.4,9.397940008672037
1086,1166,CHEMBL2324924,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,0.5,active,532.5700000000002,4.456020000000004,1.0,6.0,0.5,9.301029995663981
1087,1167,CHEMBL2324924,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,0.3,active,532.5700000000002,4.456020000000004,1.0,6.0,0.3,9.522878745280337
1088,1168,CHEMBL2324924,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,0.3,active,532.5700000000002,4.456020000000004,1.0,6.0,0.3,9.522878745280337
1089,1169,CHEMBL2324924,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,0.6,active,532.5700000000002,4.456020000000004,1.0,6.0,0.6,9.221848749616356
1090,1170,CHEMBL2324924,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,1.0,active,532.5700000000002,4.456020000000004,1.0,6.0,1.0,9.0
1091,1171,CHEMBL2324924,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,0.2,active,532.5700000000002,4.456020000000004,1.0,6.0,0.2,9.698970004336019
